Open,High,Low,Close,Volume,candle_type,sw_cnt,sw_trend,trend_cnt,sw_top,sw_bottom,sw_high_price,sw_low_price,sw_highs,sw_lows,trend,tsl_long,tsl_short,LONG_Signal,SHORT_Signal,Long_Exit,Short_Exit
2023-10-02 00:00:00,27981.1,28055.4,27862.1,27863.0,100.40251201,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27857.7,27857.9,102.53971677,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27842.1,27842.1,105.97270943,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27840.0,108.2146952,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27873.6,112.5303329,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27880.0,134.99515258,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27899.0,137.53528266,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27898.0,152.91304748,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27906.2,171.79106238,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27908.4,181.60449348,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27908.3,194.24266328,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27937.6,198.19760996,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27948.5,204.08593046,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27970.2,213.95264145,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27970.2,214.865636,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27981.3,221.77734735,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
2023-10-02 00:00:00,27981.1,28055.4,27839.9,27987.4,224.13387478,,3,1.0,17,False,False,31790.8,24800.0,HH,HL,UP,24800.0,31790.8,False,False,nan,nan
